2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cd1258p94 : cc51b87a-af26-4b74-bedf-e8cea51434ef
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-pw04k4ba : f62486ee-faa8-4120-8cfd-c3ea1084994b
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for dk-5cg216509z : c5bd285c-0e73-438d-845f-ed3f1511b252
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cd4145q2l : 5809ddcb-fe27-4f45-84d7-3db05b3fd8b6
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for rfd-5cg3373ks4 : 385a7aa4-c039-49a4-91f5-69f8edfd487c
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-pw01z9vy : f6cf72de-0911-4e77-a067-2eade0aa7d91
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for drilha-8120q6d : fc06a23a-d95c-4425-8a2e-586c3ed4783b
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for dk-5cg2158zq8 : 8e2b3c67-ab9f-473f-bd19-656105e45b70
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cd4146gc0 : a9759b07-9eaf-438b-aeb0-6eebadef9a6f
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cg3255cgx : e2444163-465b-4c74-bf67-6bef659eb9a9
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for mh-8cc2472x30 : 40d7e120-cf3b-424c-9c33-3b1959fa45e6
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cd0198f90 : eddbce5f-e104-4c42-8fa8-7e2f48fa4aae
2024-09-27 15:42:36 - Task: collectEntraObjectIDs - Success: Found ObjectID for dk-f8f3347f60a4 : a3cede25-8c96-4c6a-8154-3f7487fd228c
2024-09-27 15:42:37 - Task: collectEntraObjectIDs - Success: Found ObjectID for drhso-6422bt4 : 9e14ead4-a59f-483e-9689-3828d707b999
2024-09-27 15:42:37 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cg32567yd : 11b070d5-d4c2-4597-a3ef-379bdc92a2d8
2024-09-27 15:42:37 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cd4178dx4 : f7e9b505-fa94-46b8-a1e2-94ac3bc4d2c0
2024-09-27 15:42:37 - Task: collectEntraObjectIDs - Success: Found ObjectID for drildro-924frhr : 62e9abf9-5a60-472b-bb01-48f1898db570
2024-09-27 15:42:37 - Task: collectEntraObjectIDs - Success: Found ObjectID for druein-70739xj : 6a5a3033-a169-4d89-b913-343ae29f0d64
2024-09-27 15:42:37 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-pw01za06 : 1defcf54-4991-4dc0-9616-618ddafed19b
2024-09-27 15:42:37 - Task: collectEntraObjectIDs - Success: Found ObjectID for drilsv-8120l1z : 7d51dfc9-9ffb-4e9b-a4d2-4f17528a71b7
2024-09-27 15:42:37 - Task: collectEntraObjectIDs - Success: Found ObjectID for drilin-73651kc : f153eda7-ea9f-4835-9b4a-8526356be863
